Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
classic-denim-jacket,Classic Denim Jacket,Timeless denim jacket made from premium cotton denim. Classic fit with vintage wash and modern styling details.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,CDJ-011,4000,shopify,40,deny,manual,79.99,119.99,TRUE,TRUE,,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=800&h=600&fit=crop,1,Classic Denim Jacket - Image 1,FALSE,,Timeless denim jacket made from premium cotton denim. Classic fit with vintage wash and modern styling details.,,,,,,,,,,,,,,,kg,,,,,active
luxury-cashmere-scarf,Luxury Cashmere Scarf,100% pure cashmere scarf with soft texture and elegant design. Perfect for adding sophistication to any outfit.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,LCS-012,4000,shopify,25,deny,manual,129.99,199.99,TRUE,TRUE,,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=800&h=600&fit=crop,1,Luxury Cashmere Scarf - Image 1,FALSE,,100% pure cashmere scarf with soft texture and elegant design. Perfect for adding sophistication to any outfit.,,,,,,,,,,,,,,,kg,,,,,active
leather-crossbody-bag,Leather Crossbody Bag,"Genuine leather crossbody bag with adjustable strap, multiple compartments, and timeless design. Handcrafted for durability.",Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,LCB-013,4000,shopify,30,deny,manual,99.99,149.99,TRUE,TRUE,,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&h=600&fit=crop,1,Leather Crossbody Bag - Image 1,FALSE,,"Genuine leather crossbody bag with adjustable strap, multiple compartments, and timeless design. Handcrafted for durability.",,,,,,,,,,,,,,,kg,,,,,active
silk-blouse,Silk Blouse,Elegant silk blouse with flowing silhouette and delicate details. Perfect for professional and special occasions.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,SB-014,5000,shopify,50,deny,manual,69.99,99.99,TRUE,TRUE,,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?w=800&h=600&fit=crop,1,Silk Blouse - Image 1,FALSE,,Elegant silk blouse with flowing silhouette and delicate details. Perfect for professional and special occasions.,,,,,,,,,,,,,,,kg,,,,,active
designer-sunglasses,Designer Sunglasses,"Premium designer sunglasses with UV400 protection, polarized lenses, and luxury case. Style meets functionality.",Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,DS-015,4000,shopify,20,deny,manual,149.99,229.99,TRUE,TRUE,,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&h=600&fit=crop,1,Designer Sunglasses - Image 1,FALSE,,"Premium designer sunglasses with UV400 protection, polarized lenses, and luxury case. Style meets functionality.",,,,,,,,,,,,,,,kg,,,,,active
wool-blend-coat,Wool Blend Coat,Warm wool blend coat with classic tailoring and modern fit. Perfect for cold weather with timeless style.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,WBC-016,1000,shopify,15,deny,manual,179.99,249.99,TRUE,TRUE,,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&h=600&fit=crop,1,Wool Blend Coat - Image 1,FALSE,,Warm wool blend coat with classic tailoring and modern fit. Perfect for cold weather with timeless style.,,,,,,,,,,,,,,,kg,,,,,active
canvas-sneakers,Canvas Sneakers,Comfortable canvas sneakers with rubber sole and classic design. Perfect for casual wear and everyday comfort.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,CS-017,3000,shopify,80,deny,manual,49.99,79.99,TRUE,TRUE,,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=800&h=600&fit=crop,1,Canvas Sneakers - Image 1,FALSE,,Comfortable canvas sneakers with rubber sole and classic design. Perfect for casual wear and everyday comfort.,,,,,,,,,,,,,,,kg,,,,,active
leather-belt,Leather Belt,Genuine leather belt with classic buckle and adjustable sizing. Essential accessory for any wardrobe.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,LB-018,1000,shopify,60,deny,manual,29.99,49.99,TRUE,TRUE,,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=800&h=600&fit=crop,1,Leather Belt - Image 1,FALSE,,Genuine leather belt with classic buckle and adjustable sizing. Essential accessory for any wardrobe.,,,,,,,,,,,,,,,kg,,,,,active
knit-beanie,Knit Beanie,Soft knit beanie with ribbed design and comfortable fit. Perfect for keeping warm in style.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,KB-019,5000,shopify,100,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?w=800&h=600&fit=crop,1,Knit Beanie - Image 1,FALSE,,Soft knit beanie with ribbed design and comfortable fit. Perfect for keeping warm in style.,,,,,,,,,,,,,,,kg,,,,,active
silk-tie,Silk Tie,Premium silk tie with classic pattern and perfect length. Essential for formal occasions and business attire.,Lightning Shop,Fashion,Fashion,"fashion, premium, quality",TRUE,,,,,,,ST-020,4000,shopify,45,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?w=800&h=600&fit=crop,1,Silk Tie - Image 1,FALSE,,Premium silk tie with classic pattern and perfect length. Essential for formal occasions and business attire.,,,,,,,,,,,,,,,kg,,,,,active
ceramic-coffee-mug-set,Ceramic Coffee Mug Set,Handcrafted ceramic coffee mug set with unique glazes and comfortable handles. Perfect for morning coffee rituals.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,CCM-021,1000,shopify,75,deny,manual,29.99,49.99,TRUE,TRUE,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=600&fit=crop,1,Ceramic Coffee Mug Set - Image 1,FALSE,,Handcrafted ceramic coffee mug set with unique glazes and comfortable handles. Perfect for morning coffee rituals.,,,,,,,,,,,,,,,kg,,,,,active
bamboo-cutting-board,Bamboo Cutting Board,Eco-friendly bamboo cutting board with juice groove and antimicrobial properties. Sustainable and durable kitchen essential.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,BCB-022,1000,shopify,50,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Bamboo Cutting Board - Image 1,FALSE,,Eco-friendly bamboo cutting board with juice groove and antimicrobial properties. Sustainable and durable kitchen essential.,,,,,,,,,,,,,,,kg,,,,,active
led-desk-lamp,LED Desk Lamp,"Adjustable LED desk lamp with multiple brightness levels, USB charging port, and modern minimalist design.",Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,LDL-023,4000,shopify,40,deny,manual,49.99,79.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,LED Desk Lamp - Image 1,FALSE,,"Adjustable LED desk lamp with multiple brightness levels, USB charging port, and modern minimalist design.",,,,,,,,,,,,,,,kg,,,,,active
throw-pillow-set,Throw Pillow Set,Decorative throw pillow set with soft covers and comfortable filling. Add style and comfort to any space.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,TPS-024,5000,shopify,60,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Throw Pillow Set - Image 1,FALSE,,Decorative throw pillow set with soft covers and comfortable filling. Add style and comfort to any space.,,,,,,,,,,,,,,,kg,,,,,active
plant-pot-set,Plant Pot Set,Modern plant pot set with drainage holes and saucers. Perfect for indoor plants and home gardening.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,PPS-025,4000,shopify,80,deny,manual,24.99,39.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Plant Pot Set - Image 1,FALSE,,Modern plant pot set with drainage holes and saucers. Perfect for indoor plants and home gardening.,,,,,,,,,,,,,,,kg,,,,,active
candles-gift-set,Candles Gift Set,Luxury scented candles gift set with natural soy wax and premium fragrances. Create a cozy atmosphere.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,CGS-026,5000,shopify,35,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Candles Gift Set - Image 1,FALSE,,Luxury scented candles gift set with natural soy wax and premium fragrances. Create a cozy atmosphere.,,,,,,,,,,,,,,,kg,,,,,active
wall-art-print,Wall Art Print,High-quality wall art print with vibrant colors and professional printing. Transform any room with beautiful artwork.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,WAP-027,5000,shopify,90,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Wall Art Print - Image 1,FALSE,,High-quality wall art print with vibrant colors and professional printing. Transform any room with beautiful artwork.,,,,,,,,,,,,,,,kg,,,,,active
storage-baskets,Storage Baskets,Woven storage baskets with natural materials and various sizes. Organize your space with style and functionality.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,SB-028,2000,shopify,100,deny,manual,14.99,24.99,TRUE,TRUE,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=600&fit=crop,1,Storage Baskets - Image 1,FALSE,,Woven storage baskets with natural materials and various sizes. Organize your space with style and functionality.,,,,,,,,,,,,,,,kg,,,,,active
kitchen-knife-set,Kitchen Knife Set,Professional kitchen knife set with stainless steel blades and ergonomic handles. Essential for every home chef.,Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,KKS-029,1000,shopify,25,deny,manual,69.99,99.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Kitchen Knife Set - Image 1,FALSE,,Professional kitchen knife set with stainless steel blades and ergonomic handles. Essential for every home chef.,,,,,,,,,,,,,,,kg,,,,,active
bedding-set,Bedding Set,"Luxury bedding set with 100% cotton sheets, pillowcases, and duvet cover. Comfortable sleep guaranteed.",Lightning Shop,Home & Living,Home & Living,"home & living, premium, quality",TRUE,,,,,,,BS-030,5000,shopify,30,deny,manual,89.99,129.99,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=600&fit=crop,1,Bedding Set - Image 1,FALSE,,"Luxury bedding set with 100% cotton sheets, pillowcases, and duvet cover. Comfortable sleep guaranteed.",,,,,,,,,,,,,,,kg,,,,,active
yoga-mat-premium,Yoga Mat Premium,"Non-slip yoga mat with extra cushioning and carrying strap. Perfect for yoga, pilates, and fitness routines.",Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,YMP-031,5000,shopify,60,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Yoga Mat Premium - Image 1,FALSE,,"Non-slip yoga mat with extra cushioning and carrying strap. Perfect for yoga, pilates, and fitness routines.",,,,,,,,,,,,,,,kg,,,,,active
resistance-bands-set,Resistance Bands Set,Complete resistance bands set with different resistance levels and exercise guide. Home gym essential.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,RBS-032,1000,shopify,80,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Resistance Bands Set - Image 1,FALSE,,Complete resistance bands set with different resistance levels and exercise guide. Home gym essential.,,,,,,,,,,,,,,,kg,,,,,active
water-bottle-insulated,Water Bottle Insulated,Insulated water bottle that keeps drinks cold for 24 hours. Perfect for workouts and outdoor activities.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,WBI-033,4000,shopify,100,deny,manual,24.99,39.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Water Bottle Insulated - Image 1,FALSE,,Insulated water bottle that keeps drinks cold for 24 hours. Perfect for workouts and outdoor activities.,,,,,,,,,,,,,,,kg,,,,,active
running-shoes,Running Shoes,Lightweight running shoes with responsive cushioning and breathable upper. Designed for comfort and performance.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,RS-034,2000,shopify,45,deny,manual,79.99,119.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Running Shoes - Image 1,FALSE,,Lightweight running shoes with responsive cushioning and breathable upper. Designed for comfort and performance.,,,,,,,,,,,,,,,kg,,,,,active
dumbbell-set,Dumbbell Set,Adjustable dumbbell set with multiple weight options and compact design. Complete home gym solution.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,DS-035,5000,shopify,20,deny,manual,59.99,89.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Dumbbell Set - Image 1,FALSE,,Adjustable dumbbell set with multiple weight options and compact design. Complete home gym solution.,,,,,,,,,,,,,,,kg,,,,,active
jump-rope,Jump Rope,Professional jump rope with adjustable length and smooth bearings. Great for cardio and coordination.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,JR-036,5000,shopify,120,deny,manual,9.99,19.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Jump Rope - Image 1,FALSE,,Professional jump rope with adjustable length and smooth bearings. Great for cardio and coordination.,,,,,,,,,,,,,,,kg,,,,,active
foam-roller,Foam Roller,High-density foam roller for muscle recovery and flexibility. Essential for post-workout recovery.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,FR-037,2000,shopify,40,deny,manual,29.99,49.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Foam Roller - Image 1,FALSE,,High-density foam roller for muscle recovery and flexibility. Essential for post-workout recovery.,,,,,,,,,,,,,,,kg,,,,,active
gym-towel,Gym Towel,Quick-dry gym towel with antimicrobial properties and compact size. Perfect for intense workouts.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,GT-038,3000,shopify,150,deny,manual,14.99,24.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Gym Towel - Image 1,FALSE,,Quick-dry gym towel with antimicrobial properties and compact size. Perfect for intense workouts.,,,,,,,,,,,,,,,kg,,,,,active
protein-shaker,Protein Shaker,BPA-free protein shaker with mixing ball and leak-proof lid. Essential for post-workout nutrition.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,PS-039,2000,shopify,70,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Protein Shaker - Image 1,FALSE,,BPA-free protein shaker with mixing ball and leak-proof lid. Essential for post-workout nutrition.,,,,,,,,,,,,,,,kg,,,,,active
exercise-ball,Exercise Ball,Anti-burst exercise ball with pump included. Perfect for core workouts and balance training.,Lightning Shop,Sports & Fitness,Sports & Fitness,"sports & fitness, premium, quality",TRUE,,,,,,,EB-040,3000,shopify,35,deny,manual,24.99,39.99,TRUE,TRUE,,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,1,Exercise Ball - Image 1,FALSE,,Anti-burst exercise ball with pump included. Perfect for core workouts and balance training.,,,,,,,,,,,,,,,kg,,,,,active
skincare-set,Skincare Set,"Complete skincare set with cleanser, moisturizer, and serum. Natural ingredients for healthy, glowing skin.",Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,SS-041,5000,shopify,50,deny,manual,69.99,99.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Skincare Set - Image 1,FALSE,,"Complete skincare set with cleanser, moisturizer, and serum. Natural ingredients for healthy, glowing skin.",,,,,,,,,,,,,,,kg,,,,,active
hair-dryer-professional,Hair Dryer Professional,Professional hair dryer with ionic technology and multiple heat settings. Salon-quality results at home.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,HDP-042,2000,shopify,30,deny,manual,59.99,89.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Hair Dryer Professional - Image 1,FALSE,,Professional hair dryer with ionic technology and multiple heat settings. Salon-quality results at home.,,,,,,,,,,,,,,,kg,,,,,active
makeup-brush-set,Makeup Brush Set,Professional makeup brush set with soft synthetic bristles and ergonomic handles. Perfect for flawless application.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,MBS-043,1000,shopify,60,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Makeup Brush Set - Image 1,FALSE,,Professional makeup brush set with soft synthetic bristles and ergonomic handles. Perfect for flawless application.,,,,,,,,,,,,,,,kg,,,,,active
essential-oils-kit,Essential Oils Kit,Pure essential oils kit with 6 popular scents and diffuser. Natural aromatherapy for relaxation and wellness.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,EOK-044,3000,shopify,40,deny,manual,49.99,79.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Essential Oils Kit - Image 1,FALSE,,Pure essential oils kit with 6 popular scents and diffuser. Natural aromatherapy for relaxation and wellness.,,,,,,,,,,,,,,,kg,,,,,active
bath-bomb-collection,Bath Bomb Collection,Luxury bath bomb collection with natural ingredients and beautiful colors. Transform bath time into spa experience.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,BBC-045,3000,shopify,80,deny,manual,29.99,49.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Bath Bomb Collection - Image 1,FALSE,,Luxury bath bomb collection with natural ingredients and beautiful colors. Transform bath time into spa experience.,,,,,,,,,,,,,,,kg,,,,,active
face-mask-set,Face Mask Set,Sheet face mask set with different skin benefits and natural ingredients. Pamper your skin weekly.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,FMS-046,1000,shopify,70,deny,manual,24.99,39.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Face Mask Set - Image 1,FALSE,,Sheet face mask set with different skin benefits and natural ingredients. Pamper your skin weekly.,,,,,,,,,,,,,,,kg,,,,,active
perfume-gift-set,Perfume Gift Set,Luxury perfume gift set with 3 travel-sized fragrances. Discover your signature scent.,Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,PGS-047,5000,shopify,25,deny,manual,89.99,129.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Perfume Gift Set - Image 1,FALSE,,Luxury perfume gift set with 3 travel-sized fragrances. Discover your signature scent.,,,,,,,,,,,,,,,kg,,,,,active
nail-care-kit,Nail Care Kit,"Complete nail care kit with tools, polishes, and accessories. Professional manicure at home.",Lightning Shop,Beauty & Personal Care,Beauty & Personal Care,"beauty & personal care, premium, quality",TRUE,,,,,,,NCK-048,5000,shopify,90,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800&h=600&fit=crop,1,Nail Care Kit - Image 1,FALSE,,"Complete nail care kit with tools, polishes, and accessories. Professional manicure at home.",,,,,,,,,,,,,,,kg,,,,,active
